"sample","name","distribution","size","cpu","real","gc","memory"
65,"filliatre","random",18,1479,1480,492,1200665440
66,"filliatre","random",18,1436,1436,491,1199156000
67,"filliatre","random",18,1435,1435,491,1198081696
68,"filliatre","random",18,1467,1468,492,1201727744
69,"filliatre","random",18,1467,1467,490,1200473152
70,"filliatre","random",18,1442,1442,494,1202234096
71,"filliatre","random",18,1429,1429,488,1199101696
72,"filliatre","random",18,1441,1441,494,1198428368
73,"filliatre","random",18,1438,1438,490,1204811120
74,"filliatre","random",18,1470,1471,500,1204044288
75,"filliatre","random",18,1460,1460,493,1206101136
76,"filliatre","random",18,1438,1438,492,1200639088
77,"filliatre","random",18,1484,1484,492,1200828304
78,"filliatre","random",18,1439,1440,492,1202340496
79,"filliatre","random",18,1487,1487,497,1202046880
80,"filliatre","random",18,1449,1449,496,1202611984
81,"filliatre","random",18,1434,1434,491,1200199312
82,"filliatre","random",18,1448,1448,493,1202350752
83,"filliatre","random",18,1460,1460,495,1202364832
84,"filliatre","random",18,1506,1506,495,1203116176
85,"filliatre","random",18,1439,1439,493,1202353952
86,"filliatre","random",18,1440,1440,493,1200611968
87,"filliatre","random",18,1436,1437,490,1201891008
88,"filliatre","random",18,1491,1491,496,1205429392
89,"filliatre","random",18,1444,1444,491,1198539648
90,"filliatre","random",18,1434,1434,489,1204813856
91,"filliatre","random",18,1483,1484,496,1198282416
92,"filliatre","random",18,1438,1438,493,1198857088
93,"filliatre","random",18,1438,1438,491,1205860144
94,"filliatre","random",18,1444,1444,492,1200868896
95,"filliatre","random",18,1487,1487,494,1200317408
96,"filliatre","random",18,1452,1452,492,1202175088
97,"filliatre","random",18,1441,1441,492,1203589584
98,"filliatre","random",18,1437,1438,491,1200452272
99,"filliatre","random",18,1437,1438,491,1205024240
0,"filliatre","random",19,3906,3906,1526,2530962640
1,"filliatre","random",19,3886,3887,1528,2538142928
2,"filliatre","random",19,3901,3902,1532,2536119328
3,"filliatre","random",19,3826,3827,1531,2526377376
4,"filliatre","random",19,3825,3825,1528,2536603312
5,"filliatre","random",19,3905,3905,1529,2538936064
6,"filliatre","random",19,3873,3874,1529,2530490720
7,"filliatre","random",19,3815,3816,1524,2523889264
8,"filliatre","random",19,3832,3832,1524,2534836048
9,"filliatre","random",19,3799,3799,1522,2533016704
10,"filliatre","random",19,3804,3804,1524,2536019840
11,"filliatre","random",19,3800,3800,1525,2534114224
12,"filliatre","random",19,3878,3879,1525,2524859872
13,"filliatre","random",19,3836,3836,1535,2541637312
14,"filliatre","random",19,3829,3830,1528,2532158944
15,"filliatre","random",19,3941,3941,1527,2526347488
16,"filliatre","random",19,3930,3931,1542,2531158976
17,"filliatre","random",19,3831,3832,1533,2524542896
18,"filliatre","random",19,3862,3863,1529,2532391808
19,"filliatre","random",19,3782,3782,1515,2537254272
20,"filliatre","random",19,3897,3898,1514,2529060160
21,"filliatre","random",19,3873,3874,1520,2538040544
22,"filliatre","random",19,3794,3794,1515,2533707072
23,"filliatre","random",19,3871,3872,1512,2533257728
24,"filliatre","random",19,3899,3900,1516,2525672368
25,"filliatre","random",19,3779,3780,1513,2532048736
26,"filliatre","random",19,3788,3789,1517,2536991552
27,"filliatre","random",19,3795,3796,1513,2534305424
28,"filliatre","random",19,3796,3796,1518,2532368240
29,"filliatre","random",19,3800,3801,1520,2529442000
30,"filliatre","random",19,3795,3796,1513,2545805680
31,"filliatre","random",19,3776,3777,1513,2543829440
32,"filliatre","random",19,3849,3849,1519,2534426896
33,"filliatre","random",19,3789,3790,1519,2536391056
34,"filliatre","random",19,3872,3872,1519,2525705552
35,"filliatre","random",19,3819,3820,1515,2538055360
36,"filliatre","random",19,3860,3860,1524,2534113120
37,"filliatre","random",19,3861,3861,1537,2525702848
38,"filliatre","random",19,3848,3849,1536,2537332256
39,"filliatre","random",19,3834,3835,1538,2534067296
40,"filliatre","random",19,3756,3756,1463,2534273216
41,"filliatre","random",19,3822,3823,1529,2530531632
42,"filliatre","random",19,3942,3943,1532,2535126896
43,"filliatre","random",19,3890,3890,1541,2537471984
44,"filliatre","random",19,3824,3825,1531,2525462208
45,"filliatre","random",19,3861,3862,1524,2535893808
46,"filliatre","random",19,3812,3812,1525,2528462272
47,"filliatre","random",19,3883,3884,1536,2554527392
48,"filliatre","random",19,3842,3842,1526,2536600320
49,"filliatre","random",19,3819,3820,1527,2528879168
50,"filliatre","random",19,3821,3821,1525,2529173536
51,"filliatre","random",19,3813,3814,1523,2531904304
52,"filliatre","random",19,3819,3820,1527,2533418656
53,"filliatre","random",19,3934,3934,1529,2531476512
54,"filliatre","random",19,3918,3919,1532,2533342432
55,"filliatre","random",19,3887,3888,1532,2536545264
56,"filliatre","random",19,3791,3792,1511,2533716016
57,"filliatre","random",19,3780,3781,1516,2530311616
58,"filliatre","random",19,3806,3807,1524,2532059664
59,"filliatre","random",19,3884,3885,1523,2528087424
60,"filliatre","random",19,3789,3789,1519,2531680272
61,"filliatre","random",19,3803,3803,1524,2533824784
62,"filliatre","random",19,3831,3832,1534,2539488512
63,"filliatre","random",19,3820,3820,1529,2538411888
64,"filliatre","random",19,3839,3840,1536,2534555456
65,"filliatre","random",19,3832,3832,1534,2543639280
66,"filliatre","random",19,3799,3800,1467,2537107888
67,"filliatre","random",19,3902,3903,1537,2527922368
68,"filliatre","random",19,3825,3826,1522,2530543680
69,"filliatre","random",19,3942,3943,1531,2531189872
70,"filliatre","random",19,3910,3911,1537,2539092528
71,"filliatre","random",19,3870,3870,1530,2535394528
72,"filliatre","random",19,3859,3860,1531,2532407536
73,"filliatre","random",19,3834,3834,1528,2531604752
74,"filliatre","random",19,3826,3827,1524,2533766384
75,"filliatre","random",19,3851,3851,1528,2529447040
76,"filliatre","random",19,3921,3921,1529,2530957984
77,"filliatre","random",19,3814,3814,1523,2535588192
78,"filliatre","random",19,3912,3913,1534,2530326048
79,"filliatre","random",19,3843,3843,1533,2528998000
80,"filliatre","random",19,3834,3835,1527,2535295472
81,"filliatre","random",19,3837,3838,1525,2528987920
82,"filliatre","random",19,3783,3784,1464,2536777984
83,"filliatre","random",19,3819,3820,1526,2537082928
84,"filliatre","random",19,3910,3911,1528,2526964368
85,"filliatre","random",19,3821,3822,1530,2536746688
86,"filliatre","random",19,3880,3881,1527,2535371088
87,"filliatre","random",19,3921,3922,1550,2531927856
88,"filliatre","random",19,3883,3884,1526,2532897744
89,"filliatre","random",19,3823,3824,1528,2537437904
90,"filliatre","random",19,3926,3926,1526,2533384864
91,"filliatre","random",19,3906,3906,1521,2530656096
92,"filliatre","random",19,3824,3824,1515,2536370384
93,"filliatre","random",19,3838,3839,1528,2529187264
94,"filliatre","random",19,3822,3823,1527,2535450144
95,"filliatre","random",19,3831,3831,1528,2544136560
96,"filliatre","random",19,3953,3953,1537,2534645536
97,"filliatre","random",19,3890,3891,1531,2537798368
98,"filliatre","random",19,3915,3916,1519,2533195328
99,"filliatre","random",19,3789,3790,1517,2531194784
0,"filliatre","random",20,10074,10076,4424,5335572784
1,"filliatre","random",20,10071,10073,4436,5328383152
2,"filliatre","random",20,9885,9887,4387,5322609536
3,"filliatre","random",20,9803,9804,4366,5326157728
4,"filliatre","random",20,10004,10006,4407,5325645744
5,"filliatre","random",20,9812,9813,4385,5328842176
6,"filliatre","random",20,9996,9997,4434,5327803408
7,"filliatre","random",20,9928,9930,4401,5315007312
8,"filliatre","random",20,9765,9766,4340,5341330496
9,"filliatre","random",20,9754,9755,4372,5308889440
10,"filliatre","random",20,9757,9759,4377,5326301280
11,"filliatre","random",20,9755,9756,4369,5334334000
12,"filliatre","random",20,9727,9728,4370,5332905216
13,"filliatre","random",20,9732,9733,4364,5331792640
14,"filliatre","random",20,9762,9764,4364,5319210384
15,"filliatre","random",20,9788,9789,4348,5313532320
16,"filliatre","random",20,9944,9945,4408,5318654240
17,"filliatre","random",20,9819,9820,4393,5315786160
18,"filliatre","random",20,9751,9752,4377,5329652224
19,"filliatre","random",20,9858,9860,4393,5340261136
20,"filliatre","random",20,9779,9780,4388,5325427184
21,"filliatre","random",20,9914,9916,4405,5318863824
22,"filliatre","random",20,9878,9879,4402,5317096736
23,"filliatre","random",20,9841,9842,4389,5311226544
24,"filliatre","random",20,9887,9889,4417,5326876192
